id,make,model,description,embedding,daily_price,image_url,rent_link,is_test_result,specs,owner_id,type,crew_id,availability_rules,quantity
vipbike-g8,VipBike,G8,"Электромотоцикл VipBike G8 с мощным двигателем 3000 Вт и максимальной скоростью до 150 км/ч. Современный дизайн, надежная конструкция, идеальный выбор для городской езды и загородных поездок. Оснащен дисковыми тормозами, LED освещением и цифровым дисплеем.",,120800,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-g8/image_1.jpg,/rent/vipbike-g8,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike G8"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-g8/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-g8/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-g8/image_3.jpg""], ""battery_options"": {""base_price"": 120800, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 165300, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 175800, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 179800, ""range_km"": ""90-150""}]}, ""tier"": ""standard""}",,bike,,{},1
vipbike-g8-2,VipBike,G8-2,"Электромотоцикл VipBike G8-2 - обновленная версия популярной модели G8. Двигатель 3000 Вт, скорость до 150 км/ч. Улучшенная эргономика и стильный современный дизайн. Отличный выбор для ежедневных поездок.",,124400,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-g8-2/image_1.jpg,/rent/vipbike-g8-2,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike G8-2"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-g8-2/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-g8-2/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-g8-2/image_3.jpg""], ""battery_options"": {""base_price"": 124400, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 168900, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 179400, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 183400, ""range_km"": ""90-150""}]}, ""tier"": ""standard""}",,bike,,{},1
vipbike-dmg,VipBike,DMG,"Премиальный электромотоцикл VipBike DMG с двигателем 3000 Вт. Высококлассные материалы отделки, улучшенная подвеска и тормозная система. Максимальная скорость до 150 км/ч. Идеальный баланс стиля и производительности.",,159200,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dmg/image_1.jpg,/rent/vipbike-dmg,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Премиальный электромотоцикл VipBike DMG"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dmg/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dmg/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dmg/image_3.jpg""], ""battery_options"": {""base_price"": 159200, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 203700, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 214200, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 218200, ""range_km"": ""90-150""}]}, ""tier"": ""premium""}",,bike,,{},1
vipbike-dk,VipBike,DK,"Электромотоцикл VipBike DK - надежный городской байк с двигателем 3000 Вт. Скорость до 150 км/ч, отличная маневренность. Подходит для ежедневных поездок на работу и прогулок по городу.",,128000,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dk/image_1.jpg,/rent/vipbike-dk,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike DK"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dk/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dk/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-dk/image_3.jpg""], ""battery_options"": {""base_price"": 128000, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 172500, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 183000, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 187000, ""range_km"": ""90-150""}]}, ""tier"": ""mid-range""}",,bike,,{},1
vipbike-r1,VipBike,R1,"Электромотоцикл VipBike R1 - стильный городской байк с двигателем 3000 Вт. Максимальная скорость до 150 км/ч. Спортивный дизайн, отличная управляемость. Идеален для динамичной городской езды.",,124400,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r1/image_1.jpg,/rent/vipbike-r1,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike R1"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r1/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r1/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r1/image_3.jpg""], ""battery_options"": {""base_price"": 124400, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 168900, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 179400, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 183400, ""range_km"": ""90-150""}]}, ""tier"": ""standard""}",,bike,,{},1
vipbike-r2,VipBike,R2,"Электромотоцикл VipBike R2 - второе поколение популярной R-серии. Двигатель 3000 Вт, скорость до 150 км/ч. Улучшенная аэродинамика и обновленный дизайн. Отличный выбор для ценителей стиля.",,124400,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r2/image_1.jpg,/rent/vipbike-r2,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike R2"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r2/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r2/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r2/image_3.jpg""], ""battery_options"": {""base_price"": 124400, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 168900, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 179400, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 183400, ""range_km"": ""90-150""}]}, ""tier"": ""standard""}",,bike,,{},1
vipbike-r3,VipBike,R3,Электромотоцикл VipBike R3 - доступный городской байк с двигателем 3000 Вт. Максимальная скорость до 150 км/ч. Отличное соотношение цены и качества. Идеален для начинающих райдеров.,,114800,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r3/image_1.jpg,/rent/vipbike-r3,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike R3"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r3/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r3/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r3/image_3.jpg""], ""battery_options"": {""base_price"": 114800, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 159300, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 169800, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 173800, ""range_km"": ""90-150""}]}, ""tier"": ""budget""}",,bike,,{},1
vipbike-r6,VipBike,R6,"Спортивный электромотоцикл VipBike R6 с двигателем 3000 Вт. Агрессивный дизайн, максимальная скорость до 150 км/ч. Улучшенная тормозная система и спортивная подвеска. Для любителей динамичной езды.",,148400,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r6/image_1.jpg,/rent/vipbike-r6,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Спортивный электромотоцикл VipBike R6"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r6/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r6/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-r6/image_3.jpg""], ""battery_options"": {""base_price"": 148400, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 192900, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 203400, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 207400, ""range_km"": ""90-150""}]}, ""tier"": ""sport""}",,bike,,{},1
vipbike-rz,VipBike,RZ,"Бюджетный электромотоцикл VipBike RZ с двигателем 3000 Вт. Максимальная скорость до 150 км/ч. Компактный, экономичный и надежный. Отличный выбор для первой покупки электробайка.",,112400,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-rz/image_1.jpg,/rent/vipbike-rz,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike RZ"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-rz/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-rz/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-rz/image_3.jpg""], ""battery_options"": {""base_price"": 112400, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 156900, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 167400, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 171400, ""range_km"": ""90-150""}]}, ""tier"": ""budget""}",,bike,,{},1
vipbike-v6,VipBike,V6,Электромотоцикл VipBike V6 с двигателем 3000 Вт. Скорость до 150 км/ч. Классический дизайн в современном исполнении. Надежный и комфортный для ежедневного использования.,,114800,https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-v6/image_1.jpg,/rent/vipbike-v6,false,"{""type"": ""Electric"", ""engine"": ""Электро"", ""power_w"": 3000, ""power_kw"": 3, ""max_speed_kmh"": ""90-150"", ""subtitle"": ""Электромотоцикл VipBike V6"", ""bike_subtype"": ""Electric"", ""gallery"": [""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-v6/image_1.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-v6/image_2.jpg"", ""https://inmctohsodgdohamhzag.supabase.co/storage/v1/object/public/carpix/vipbike-v6/image_3.jpg""], ""battery_options"": {""base_price"": 114800, ""batteries"": [{""capacity"": ""50Ah"", ""type"": ""regular"", ""battery_price"": 44500, ""total_price"": 159300, ""range_km"": ""70-110""}, {""capacity"": ""60Ah"", ""type"": ""regular"", ""battery_price"": 55000, ""total_price"": 169800, ""range_km"": ""80-120""}, {""capacity"": ""80Ah"", ""type"": ""regular"", ""battery_price"": 59000, ""total_price"": 173800, ""range_km"": ""90-150""}]}, ""tier"": ""budget""}",,bike,,{},1
